week,ageDecade,total_tests,total_tests_clean,total_pos,percent_pos
9/24/2022,< 20,20070,20056,290,1.445951336
9/24/2022,20s,3007,2996,177,5.90787717
9/24/2022,30s,3706,3669,222,6.050695012
9/24/2022,40s,4141,4116,185,4.494655005
9/24/2022,50s,5634,5598,283,5.05537692
9/24/2022,60s,6364,6311,283,4.484233877
9/24/2022,70s,5555,5516,235,4.260333575
9/24/2022,> 80,6739,6705,218,3.251304996
10/1/2022,< 20,20325,20312,261,1.284954707
10/1/2022,20s,2713,2699,145,5.372360133
10/1/2022,30s,3397,3386,199,5.87714117
10/1/2022,40s,3883,3856,194,5.031120332
10/1/2022,50s,5214,5175,224,4.328502415
10/1/2022,60s,6333,6248,282,4.513444302
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
